"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Michael Baumgartner","(Prefers Republican Party)",417141,30.07,"Federal"
"U.S. Senator","Will Baker","(Prefers Reform Party)",15005,1.08,"Federal"
"U.S. Senator","Chuck Jackson","(Prefers Republican Party)",25983,1.87,"Federal"
"U.S. Senator","Timmy (Doc) Wilson","(Prefers Democratic Party)",31817,2.29,"Federal"
"U.S. Senator","Art Coday","(Prefers Republican Party)",79727,5.75,"Federal"
"U.S. Senator","Maria Cantwell","(Prefers Democratic Party)",772058,55.66,"Federal"
"U.S. Senator","Glen (Stocky) R. Stockwell","(Prefers Republican Party)",25793,1.86,"Federal"
"U.S. Senator","Mike the Mover","(Prefers Republican Party)",19535,1.41,"Federal"
"Congressional District 1 - U.S. Representative","John Koster","(Prefers Republican Party)",67185,44.86,"Congressional"
"Congressional District 1 - U.S. Representative","Darcy Burner","(Prefers Democratic Party)",20844,13.92,"Congressional"
"Congressional District 1 - U.S. Representative","Darshan Rauniyar","(Prefers Democratic Party)",4134,2.76,"Congressional"
"Congressional District 1 - U.S. Representative","Laura Ruderman","(Prefers Democratic Party)",10582,7.07,"Congressional"
"Congressional District 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",33670,22.48,"Congressional"
"Congressional District 1 - U.S. Representative","Steve Hobbs","(Prefers Democratic Party)",10279,6.86,"Congressional"
"Congressional District 1 - U.S. Representative","Larry Ishmael","(Prefers Independent Party)",3062,2.04,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Brian Berry","(Prefers Democratic Party)",2796,1.77,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Ruth Morrison","(Prefers Democrat Party)",1939,1.22,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Laura Ruderman","(Prefers Democratic Party)",15463,9.76,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","J. Byron Holcomb","(Prefers Democratic Party)",1396,0.88,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Darshan Rauniyar","(Prefers Democratic Party)",5143,3.25,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","John Koster","(Prefers Republican Party)",56631,35.76,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Brian Sullivan","(Prefers Democratic Party)",4861,3.07,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Steven J. Gerdes","(Prefers Republican Party)",4066,2.57,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Bob Champion","(Prefers Independent Party)",2542,1.61,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",39620,25.02,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Darcy Burner","(Prefers Democratic Party)",23902,15.09,"Congressional"
"Congressional District 2 - U.S. Representative","Mike Lapointe","(Prefers The 99% Party)",5806,4.17,"Congressional"
"Congressional District 2 - U.S. Representative","Dan Matthews","(Prefers Republican Party)",39956,28.71,"Congressional"
"Congressional District 2 - U.S. Representative","Eli Olson","(Prefers Republican Party)",3373,2.42,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",79632,57.21,"Congressional"
"Congressional District 2 - U.S. Representative","Glen S. Johnson","(States No Party Preference)",2289,1.64,"Congressional"
"Congressional District 2 - U.S. Representative","John C. W. Shoop","(Prefers The Republican Party)",8130,5.84,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",68603,56.51,"Congressional"
"Congressional District 3 - U.S. Representative","Jon T. Haugen","(Prefers Democratic Party)",45693,37.64,"Congressional"
"Congressional District 3 - U.S. Representative","Norma Jean Stevens","(States No Party Preference)",7108,5.85,"Congressional"
"Congressional District 4 - U.S. Representative","Mary Baechler","(Prefers Democratic Party)",27130,26.48,"Congressional"
"Congressional District 4 - U.S. Representative","Doc Hastings","(Prefers Republican Party)",60774,59.32,"Congressional"
"Congressional District 4 - U.S. Representative","Mohammad H. Said","(Prefers Democratic Party)",2958,2.89,"Congressional"
"Congressional District 4 - U.S. Representative","Jamie Wheeler","(Prefers Republican Party)",11581,11.3,"Congressional"
"Congressional District 5 - U.S. Representative","Ian Moody","(States No Party Preference)",4693,3.15,"Congressional"
"Congressional District 5 - U.S. Representative","Rich Cowan","(Prefers Democratic Party)",49406,33.12,"Congressional"
"Congressional District 5 - U.S. Representative","Randall L. Yearout","(Prefers Republican Party)",11894,7.97,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",83186,55.76,"Congressional"
"Congressional District 6 - U.S. Representative","Jesse Young","(Prefers Republican Party)",18075,11.17,"Congressional"
"Congressional District 6 - U.S. Representative","Eric G. Arentz Jr.","(Prefers Independent Party)",4101,2.53,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",86436,53.41,"Congressional"
"Congressional District 6 - U.S. Representative","Bill Driscoll","(Prefers Republican Party)",29602,18.29,"Congressional"
"Congressional District 6 - U.S. Representative","David (Ike) Eichner","(Prefers Republican Party)",7966,4.92,"Congressional"
"Congressional District 6 - U.S. Representative","Stephan Andrew Brodhead","(Prefers Republican Party)",1387,0.86,"Congressional"
"Congressional District 6 - U.S. Representative","Doug Cloud","(Prefers Republican Party)",14267,8.82,"Congressional"
"Congressional District 7 - U.S. Representative","Don Rivers","(Prefers Democratic Party)",2688,1.53,"Congressional"
"Congressional District 7 - U.S. Representative","Goodspaceguy","(Prefers Employmentwealth Party)",1387,0.79,"Congressional"
"Congressional District 7 - U.S. Representative","Scott Sutherland","(Prefers G.O.P. Party)",5573,3.17,"Congressional"
"Congressional District 7 - U.S. Representative","Andrew Hughes","(Prefers Democratic Party)",10340,5.88,"Congressional"
"Congressional District 7 - U.S. Representative","Jim McDermott","(Prefers Democratic Party)",124692,70.91,"Congressional"
"Congressional District 7 - U.S. Representative","Ron Bemis","(Prefers Republican Party)",26791,15.24,"Congressional"
"Congressional District 7 - U.S. Representative","Charles Allen","(Prefers Democratic Party)",4367,2.48,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",66220,50.62,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Swank","(Prefers Republican Party)",10942,8.36,"Congressional"
"Congressional District 8 - U.S. Representative","James Windle","(States No Party Preference)",5269,4.03,"Congressional"
"Congressional District 8 - U.S. Representative","Karen Porterfield","(Prefers Democratic Party)",37083,28.35,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Arnold","(Prefers Democratic Party)",7144,5.46,"Congressional"
"Congressional District 8 - U.S. Representative","Ernest Huber","(Prefers Republican Party)",4165,3.18,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",72868,61.16,"Congressional"
"Congressional District 9 - U.S. Representative","Jim Postma","(Prefers Republican Party)",27616,23.18,"Congressional"
"Congressional District 9 - U.S. Representative","Tom Cramer","(Prefers Democratic Party)",8376,7.03,"Congressional"
"Congressional District 9 - U.S. Representative","Dave Christie","(Prefers F.D.R. Democrat Party)",3659,3.07,"Congressional"
"Congressional District 9 - U.S. Representative","John Orlinski","(Prefers Republican Party)",6624,5.56,"Congressional"
"Congressional District 10 - U.S. Representative","Stan Flemming","(Prefers Republican Party)",19934,15.51,"Congressional"
"Congressional District 10 - U.S. Representative","Richard (Dick) Muri","(Prefers Republican Party)",36173,28.15,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",51047,39.73,"Congressional"
"Congressional District 10 - U.S. Representative","Steve Hannon","(States No Party Preference)",3025,2.35,"Congressional"
"Congressional District 10 - U.S. Representative","Jennifer Ferguson","(Prefers Democratic Party)",14026,10.92,"Congressional"
"Congressional District 10 - U.S. Representative","Sue Gunn","(Prefers Prog Independent Party)",4292,3.34,"Congressional"
"Governor","Rob Hill","(Prefers Democratic Party)",45453,3.22,"State Executive"
"Governor","Rob McKenna","(Prefers Republican Party)",604872,42.9,"State Executive"
"Governor","Jay Inslee","(Prefers Democratic Party)",664534,47.13,"State Executive"
"Governor","James White","(Prefers Independent Party)",13764,0.98,"State Executive"
"Governor","Christian Joubert","(States No Party Preference)",10457,0.74,"State Executive"
"Governor","Shahram Hadian","(Prefers Republican Party)",46169,3.27,"State Executive"
"Governor","L. Dale Sorgen","(Prefers Independent Party)",9734,0.69,"State Executive"
"Governor","Max Sampson","(Prefers Republican Party)",8753,0.62,"State Executive"
"Governor","Javier O. Lopez","(Prefers Republican Party)",6131,0.43,"State Executive"
"Lt. Governor","Glenn Anderson","(Prefers Indep Republican Party)",229318,17.17,"State Executive"
"Lt. Governor","Brad Owen","(Prefers Democrat Party)",648110,48.51,"State Executive"
"Lt. Governor","James Robert Deal","(States No Party Preference)",53694,4.02,"State Executive"
"Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)",352195,26.36,"State Executive"
"Lt. Governor","Dave T. Sumner IV","(Prefers Neopopulist Party)",6057,0.45,"State Executive"
"Lt. Governor","Mark Greene","(Prefers Democracy Indep. Party)",46534,3.48,"State Executive"
"Secretary of State","Jim Kastama","(Prefers Democratic Party)",185425,13.94,"State Executive"
"Secretary of State","David J. Anderson","(States No Party Preference)",44276,3.33,"State Executive"
"Secretary of State","Sam Wright","(Prefers The Human Rights Party)",20809,1.56,"State Executive"
"Secretary of State","Karen Murray","(Prefers Constitution Party)",50888,3.83,"State Executive"
"Secretary of State","Kathleen Drew","(Prefers Democratic Party)",289052,21.73,"State Executive"
"Secretary of State","Kim Wyman","(Prefers Republican Party)",528754,39.75,"State Executive"
"Secretary of State","Greg Nickels","(Prefers Democratic Party)",210832,15.85,"State Executive"
"State Treasurer","Jim McIntire","(Prefers Democratic Party)",925850,96.62,"State Executive"
"State Treasurer","Write-In: Sharon Hanek","(Prefers Republican Party)",32339,3.38,"State Executive"
"State Auditor","Troy Kelley","(Prefers Democratic Party)",291335,22.98,"State Executive"
"State Auditor","James Watkins","(Prefers Republican Party)",584444,46.09,"State Executive"
"State Auditor","Mark Miloscia","(Prefers Democratic Party)",123936,9.77,"State Executive"
"State Auditor","Craig Pridemore","(Prefers Democratic Party)",268220,21.15,"State Executive"
"Attorney General","Bob Ferguson","(Prefers Democratic Party)",685346,51.68,"State Executive"
"Attorney General","Reagan Dunn","(Prefers Republican Party)",506524,38.2,"State Executive"
"Attorney General","Stephen Pidgeon","(Prefers Republican Party)",134185,10.12,"State Executive"
"Commissioner of Public Lands","Stephen A. Sharon","(States No Party Preference)",92993,7.06,"State Executive"
"Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)",683448,51.88,"State Executive"
"Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)",540907,41.06,"State Executive"
"Superintendent of Public Instruction","James Bauckman","",149370,13.24,"State Executive"
"Superintendent of Public Instruction","Randy I. Dorn","",634314,56.22,"State Executive"
"Superintendent of Public Instruction","Don Hansler","",104360,9.25,"State Executive"
"Superintendent of Public Instruction","John Patterson Blair","",67898,6.02,"State Executive"
"Superintendent of Public Instruction","Ronald L. (Ron) Higgins","",172331,15.27,"State Executive"
"Insurance Commissioner","John R. Adams","(Prefers Republican Party)",279052,21.52,"State Executive"
"Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)",712095,54.91,"State Executive"
"Insurance Commissioner","Scott Reilly","(Prefers Republican Party)",241377,18.61,"State Executive"
"Insurance Commissioner","Brian C. Berend","(Prefers Independent Party)",64303,4.96,"State Executive"
"Legislative District 1 - State Senator","Rosemary McAuliffe","(Prefers Democratic  Party)",13238,44.27,"Legislative"
"Legislative District 1 - State Senator","Guy Palumbo","(Prefers Democratic Party)",4048,13.54,"Legislative"
"Legislative District 1 - State Senator","Dawn McCravey","(Prefers Republican Party)",12619,42.2,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Greg Rankich","(Prefers Democratic Party)",2567,8.91,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Derek Stanford","(Prefers Democratic Party)",13388,46.47,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Brian Travis","(Prefers Republican Party)",5129,17.8,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Sandy Guinn","(Prefers Republican Party)",7726,26.82,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Luis Moscoso","(Prefers Democratic Party)",19798,97.31,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Write-In: Mark T. Davies","(States No Party Preference)",548,2.69,"Legislative"
"Legislative District 2 - State Senator","Randi Becker","(Prefers Republican Party)",9517,40.63,"Legislative"
"Legislative District 2 - State Senator","James E. Vaughn","(Prefers Republican Party)",4393,18.76,"Legislative"
"Legislative District 2 - State Senator","Bruce L. Lachney","(Prefers Democratic Party)",9512,40.61,"Legislative"
"Legislative District 2 - State Representative Pos. 1","Greg Hartman","(Prefers Democratic Party)",9477,41.24,"Legislative"
"Legislative District 2 - State Representative Pos. 1","Gary Alexander","(Prefers Republican Party)",13501,58.76,"Legislative"
"Legislative District 2 - State Representative Pos. 2","J.T. Wilcox","(Prefers Republican Party)",17880,100,"Legislative"
"Legislative District 3 - State Senator","Nancy McLaughlin","(Prefers G.O.P. Party)",9694,42.36,"Legislative"
"Legislative District 3 - State Senator","Andy Billig","(Prefers Democratic Party)",13190,57.64,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Tim Benn","(Prefers G.O.P. Party)",4868,21.6,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Marcus Riccelli","(Prefers Democratic Party)",6277,27.85,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Bob Apple","(Prefers Democratic Party)",4086,18.13,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Jon Snyder","(Prefers Democratic Party)",4317,19.15,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Morgan Oyler","(Prefers Republican Party)",2993,13.28,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Dave White","(Prefers Republican Party)",8494,37.59,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Timm Ormsby","(Prefers Democratic Party)",14102,62.41,"Legislative"
"Legislative District 4 - State Senator","Mike Padden","(Prefers Republican  Party)",22626,100,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Larry Crouse","(Prefers Republican Party)",22277,100,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Matt Shea","(Prefers Republican Party)",18047,60.03,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Amy C. Biviano","(Prefers Democratic Party)",12017,39.97,"Legislative"
"Legislative District 5 - State Senator","Brad Toft","(Prefers Republican Party)",13310,47.58,"Legislative"
"Legislative District 5 - State Senator","Mark Mullet","(Prefers Democratic Party)",14662,52.42,"Legislative"
"Legislative District 5 - State Representative Pos. 1","Jay Rodne","(Prefers Republican Party)",19775,100,"Legislative"
"Legislative District 5 - State Representative Pos. 2","Ryan Dean Burkett","(States No Party Preference)",1202,4.39,"Legislative"
"Legislative District 5 - State Representative Pos. 2","David Spring","(Prefers Democratic Party)",11526,42.09,"Legislative"
"Legislative District 5 - State Representative Pos. 2","Chad Magendanz","(Prefers Republican Party)",14654,53.52,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Kevin Parker","(Prefers Republican Party)",21398,100,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Jeff Holy","(Prefers Republican Party)",9680,31.17,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Ben Oakley","(Prefers Republican Party)",5127,16.51,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Dennis Dellwo","(Prefers Democratic Party)",12967,41.75,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Larry Keller","(Prefers Republican Party)",3285,10.58,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Shelly Short","(Prefers Republican Party)",25092,100,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Robert (Bob) Wilson","(Prefers Republican Party)",10105,37.59,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)",16775,62.41,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Jay Clough","(Prefers Democratic Party)",8720,34.99,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)",16203,65.01,"Legislative"
"Legislative District 8 - State Representative Pos. 2","Richard Reuther","(Prefers Democratic Party)",6035,24.16,"Legislative"
"Legislative District 8 - State Representative Pos. 2","Larry Haler","(Prefers Republican Party)",13663,54.7,"Legislative"
"Legislative District 8 - State Representative Pos. 2","Bob Parks","(Prefers Republican Party)",5278,21.13,"Legislative"
"Legislative District 9 - State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)",18749,100,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)",18669,100,"Legislative"
"Legislative District 9 - State Representative Pos. 2","Joe Schmick","(Prefers Republican  Party)",18722,100,"Legislative"
"Legislative District 10 - State Senator","Barbara Bailey","(Prefers Republican Party)",21301,53.23,"Legislative"
"Legislative District 10 - State Senator","Mary Margaret Haugen","(Prefers Democratic Party)",18717,46.77,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Aaron Simpson","(Prefers Democratic Party)",15783,40.64,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Norma Smith","(Prefers Republican Party)",23054,59.36,"Legislative"
"Legislative District 10 - State Representative Pos. 2","Dave Hayes","(Prefers Republican Party)",19543,51.63,"Legislative"
"Legislative District 10 - State Representative Pos. 2","Tom Riggs","(Prefers Democratic Party)",18309,48.37,"Legislative"
"Legislative District 11 - State Senator","Kristin Thompson","(Prefers Republican Party)",7126,32.62,"Legislative"
"Legislative District 11 - State Senator","Bob Hasegawa","(Prefers Democratic Party)",14720,67.38,"Legislative"
"Legislative District 11 - State Representative Pos. 1","Zack Hudgins","(Prefers Democratic Party)",12653,71.14,"Legislative"
"Legislative District 11 - State Representative Pos. 1","Jim Flynn","(Prefers Democratic Party)",5134,28.86,"Legislative"
"Legislative District 11 - State Representative Pos. 2","Steve Bergquist","(Prefers Democratic Party)",6074,28.04,"Legislative"
"Legislative District 11 - State Representative Pos. 2","Bobby Virk","(Prefers Democratic Party)",3040,14.03,"Legislative"
"Legislative District 11 - State Representative Pos. 2","Stephanie Bowman","(Prefers Democratic Party)",4853,22.4,"Legislative"
"Legislative District 11 - State Representative Pos. 2","Rob Holland","(Prefers Democratic  Party)",2245,10.36,"Legislative"
"Legislative District 11 - State Representative Pos. 2","Sarah Sanoy-Wright","(Prefers Republican Party)",5451,25.16,"Legislative"
"Legislative District 12 - State Senator","Linda Evans Parlette","(Prefers Gop Party)",24683,100,"Legislative"
"Legislative District 12 - State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)",17901,65.24,"Legislative"
"Legislative District 12 - State Representative Pos. 1","Stan Morse","(Prefers Republican Party)",9536,34.76,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)",16451,58.71,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Brad Hawkins","(Prefers Republican Party)",11568,41.29,"Legislative"
"Legislative District 13 - State Representative Pos. 1","Judith (Judy) Warnick","(Prefers Republican Party)",18345,100,"Legislative"
"Legislative District 13 - State Representative Pos. 2","Kaj Selmann","(Prefers Democratic Party)",6748,30.21,"Legislative"
"Legislative District 13 - State Representative Pos. 2","Matt Manweller ","(Prefers Republican Party)",15589,69.79,"Legislative"
"Legislative District 14 - State Senator","Curtis King","(Prefers Republican Party)",17241,100,"Legislative"
"Legislative District 14 - State Representative Pos. 1","Paul Spencer","(Prefers Democratic Party)",7640,34.97,"Legislative"
"Legislative District 14 - State Representative Pos. 1","Norm Johnson","(Prefers Republican Party)",14208,65.03,"Legislative"
"Legislative District 14 - State Representative Pos. 2","Mathew K.M. Tomaskin","(Prefers Democratic Party)",7269,33.04,"Legislative"
"Legislative District 14 - State Representative Pos. 2","Charles Ross","(Prefers Republican Party)",14730,66.96,"Legislative"
"Legislative District 15 - State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)",12006,100,"Legislative"
"Legislative District 15 - State Representative Pos. 2","Pablo Gonzalez","(Prefers Democratic Party)",4276,29.97,"Legislative"
"Legislative District 15 - State Representative Pos. 2","David V. Taylor","(Prefers Republican Party)",9990,70.03,"Legislative"
"Legislative District 16 - State Senator","Scott Nettles","(Prefers Democratic Party)",6870,29.54,"Legislative"
"Legislative District 16 - State Senator","Mike Hewitt","(Prefers Republican Party)",16386,70.46,"Legislative"
"Legislative District 16 - State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)",13468,62.58,"Legislative"
"Legislative District 16 - State Representative Pos. 1","Mary Ruth Edwards","(Prefers Republican Party)",8054,37.42,"Legislative"
"Legislative District 16 - State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)",18433,100,"Legislative"
"Legislative District 17 - State Senator","Don Benton","(Prefers Republican Party)",10902,52.13,"Legislative"
"Legislative District 17 - State Senator","Tim Probst","(Prefers Democratic Party)",10012,47.87,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Julie Olson","(Prefers Republican Party)",8785,42.48,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Monica Stonier","(Prefers Democratic Party)",9390,45.4,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Matthew Homola","(Prefers Republican Party)",2506,12.12,"Legislative"
"Legislative District 17 - State Representative Pos. 2","Paul Harris","(Prefers Republican Party)",11749,57.19,"Legislative"
"Legislative District 17 - State Representative Pos. 2","Jim Gizzi","(Prefers Democratic Party)",8794,42.81,"Legislative"
"Legislative District 18 - State Senator","Ralph Schmidt","(Prefers Democratic Party)",8881,36.13,"Legislative"
"Legislative District 18 - State Senator","Ann Rivers","(Prefers Republican Party)",15697,63.87,"Legislative"
"Legislative District 18 - State Representative Pos. 1","Brandon Vick","(Prefers Republican Party)",11373,64.72,"Legislative"
"Legislative District 18 - State Representative Pos. 1","Adrian E. Cortes","(Prefers Republican Party)",6199,35.28,"Legislative"
"Legislative District 18 - State Representative Pos. 2","David Shehorn","(Prefers Democratic Party)",7278,30.08,"Legislative"
"Legislative District 18 - State Representative Pos. 2","Ryan Gompertz","(Prefers Democratic Party)",2082,8.6,"Legislative"
"Legislative District 18 - State Representative Pos. 2","Liz Pike","(Prefers Republican Party)",14838,61.32,"Legislative"
"Legislative District 19 - State Senator","Brian Hatfield","(Prefers Democratic Party)",16898,59.42,"Legislative"
"Legislative District 19 - State Senator","Rick Winsman","(Prefers Republican Party)",11542,40.58,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Dixie Kolditz","(Prefers Republican Party)",11316,40.55,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Dean Takko","(Prefers Democratic Party)",16589,59.45,"Legislative"
"Legislative District 19 - State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)",19506,95.81,"Legislative"
"Legislative District 19 - State Representative Pos. 2","Write-In: Tim Sutinen","(Prefers Independent Party)",852,4.19,"Legislative"
"Legislative District 20 - State Senator","John E. Braun","(Prefers Republican Party)",9327,40.33,"Legislative"
"Legislative District 20 - State Senator","Dan Swecker","(Prefers Republican Party)",10861,46.97,"Legislative"
"Legislative District 20 - State Senator","Rae Lowery","(Prefers Republican Party)",2936,12.7,"Legislative"
"Legislative District 20 - State Representative Pos. 1","Richard DeBolt","(Prefers Republican Party)",20117,100,"Legislative"
"Legislative District 20 - State Representative Pos. 2","John Morgan","(Prefers Republican Party)",8553,40.4,"Legislative"
"Legislative District 20 - State Representative Pos. 2","Ed Orcutt","(Prefers Republican Party)",12616,59.6,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Mary Helen Roberts","(Prefers Democratic Party)",18239,100,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Marko Liias","(Prefers Democratic Party)",17378,97.84,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Write-In: Kevin Morrison","(Prefers Republican Party)",383,2.16,"Legislative"
"Legislative District 22 - State Senator","Karen Fraser","(Prefers Democratic Party)",24154,100,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Chris Reykdal","(Prefers Democratic Party)",23547,100,"Legislative"
"Legislative District 22 - State Representative Pos. 2","Sam Hunt","(Prefers Democratic Party)",23809,100,"Legislative"
"Legislative District 23 - State Senator","Bret A. Treadwell","(Prefers Republican Party)",11658,34.97,"Legislative"
"Legislative District 23 - State Senator","Christine Rolfes","(Prefers Democratic Party)",21678,65.03,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Sherry V. Appleton","(Prefers Democratic Party)",20298,60.34,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Tony Stephens","(Prefers Republican Party)",13344,39.66,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Drew Hansen","(Prefers Democratic Party)",17377,52.68,"Legislative"
"Legislative District 23 - State Representative Pos. 2","James M. Olsen","(Prefers Republican Party)",13334,40.42,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Henning B. Larsen","(Prefers Democratic Party)",2278,6.91,"Legislative"
"Legislative District 24 - State Senator","Larry Carter","(Prefers Independent Party)",13056,34.63,"Legislative"
"Legislative District 24 - State Senator","Jim Hargrove","(Prefers Democratic Party)",24649,65.37,"Legislative"
"Legislative District 24 - State Representative Pos. 1","Kevin Van De Wege","(Prefers Democratic Party)",26680,96.61,"Legislative"
"Legislative District 24 - State Representative Pos. 1","Write-In: Craig Durgan","(States No Party Preference)",937,3.39,"Legislative"
